date,time,confirmed,deaths,possibleDeaths,suspicious,negatives,recoveries,tests,homeStable,hospitalStable,reserveState,link,lookup,isLastRecord
29/2/2020,21:00,1,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
1/3/2020,19:00,6,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
2/3/0200,20:00,7,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
3/3/2020,21:00,7,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
4/3/2020,21:00,10,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
5/3/2020,21:00,13,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
6/3/2020,21:00,14,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
7/3/2020,21:00,14,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
8/3/2020,21:00,15,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
9/3/2020,21:00,15,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
10/3/2020,21:00,17,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
11/3/2020,21:00,17,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
12/3/2020,21:00,19,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
13/3/2020,21:00,23,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
14/3/2020,21:00,28,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
15/3/2020,21:00,37,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
16/3/2020,21:00,58,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
17/3/2020,21:00,111,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
18/3/2020,21:00,168,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
19/3/2020,21:00,260,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
20/3/2020,21:00,476,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
21/3/2020,21:00,582,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
22/3/2020,21:00,839,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
23/3/2020,21:00,1031,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
24/3/2020,21:00,1132,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
25/3/2020,21:00,1223,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
26/3/2020,21:00,1394,0,0,0,0,0,0,0,0,0,.,4/5/2020,0
27/3/2020,21:00,1618,41,0,2347,1941,3,5915,1377,112,94,.,4/5/2020,0
28/3/2020,17:10,1835,48,25,2680,2100,3,6650,1553,121,110,.,4/5/2020,0
29/3/2020,17:00,1924,58,42,2869,2199,3,6992,1562,191,110,.,4/5/2020,0
30/3/2020,11:10,1966,62,46,3232,2253,54,7451,1544,206,100,.,4/5/2020,0
31/3/2020,17:30,2302,79,67,3423,2526,58,8251,1805,208,79,.,4/5/2020,0
1/4/2020,17:30,2758,98,76,3428,2833,58,9019,2301,191,110,.,4/5/2020,0
2/4/2020,11:10,3163,120,78,3302,3139,65,9604,2753,103,120,.,4/5/2020,0
3/4/2020,11:10,3368,145,101,3661,3288,71,10317,2912,112,128,.,4/5/2020,0
4/4/2020,11:20,3465,172,146,4475,3369,100,11309,2666,527,139,.,4/5/2020,0
5/4/2020,11:20,3646,180,159,5137,3603,100,12386,2687,521,158,.,4/5/2020,1